0,3,"LINESTRING (9.91093 -10.84384, 7.96287 -9.12933)",2.595092
"",13,"LINESTRING (9.91093 -10.84384, 8.51098 -8.26781)",2.931858
"",6,"LINESTRING (9.91093 -10.84384, 10.99163 -7.00386)",3.989157
"",11,"LINESTRING (9.91093 -10.84384, 9.23621 -6.60038)",4.296769
"",7,"LINESTRING (9.91093 -10.84384, 6.2168 -5.87003)",6.195593
1,10,"LINESTRING (0.07867 -11.9386, 0.68076 -11.3552)",0.838375
"",2,"LINESTRING (0.07867 -11.9386, 3.68013 -6.7542)",6.312567
"",3,"LINESTRING (0.07867 -11.9386, 7.96287 -9.12933)",8.369741
"",7,"LINESTRING (0.07867 -11.9386, 6.2168 -5.87003)",8.631581
"",12,"LINESTRING (0.07867 -11.9386, 6.17261 -5.26543)",9.036997
2,7,"LINESTRING (3.68013 -6.7542, 6.2168 -5.87003)",2.686346
"",12,"LINESTRING (3.68013 -6.7542, 6.17261 -5.26543)",2.903255
"",5,"LINESTRING (3.68013 -6.7542, 5.50752 -2.41563)",4.707712
"",3,"LINESTRING (3.68013 -6.7542, 7.96287 -9.12933)",4.897249
"",13,"LINESTRING (3.68013 -6.7542, 8.51098 -8.26781)",5.062420
"",4,"LINESTRING (3.68013 -6.7542, 6.12755 -1.07128)",6.187523
"",10,"LINESTRING (3.68013 -6.7542, 0.68076 -11.3552)",5.492301
3,13,"LINESTRING (7.96287 -9.12933, 8.51098 -8.26781)",1.021098
"",11,"LINESTRING (7.96287 -9.12933, 9.23621 -6.60038)",2.831434
"",7,"LINESTRING (7.96287 -9.12933, 6.2168 -5.87003)",3.697536
3,6,"LINESTRING (7.96287 -9.12933, 10.99163 -7.00386)",3.700139
"",10,"LINESTRING (7.96287 -9.12933, 0.68076 -11.3552)",7.614693
4,5,"LINESTRING (6.12755 -1.07128, 5.50752 -2.41563)",1.480443
"",12,"LINESTRING (6.12755 -1.07128, 6.17261 -5.26543)",4.194390
"",7,"LINESTRING (6.12755 -1.07128, 6.2168 -5.87003)",4.799581
"",11,"LINESTRING (6.12755 -1.07128, 9.23621 -6.60038)",6.343083
5,12,"LINESTRING (5.50752 -2.41563, 6.17261 -5.26543)",2.926378
"",7,"LINESTRING (5.50752 -2.41563, 6.2168 -5.87003)",3.526466
"",11,"LINESTRING (5.50752 -2.41563, 9.23621 -6.60038)",5.604932
6,11,"LINESTRING (10.99163 -7.00386, 9.23621 -6.60038)",1.801186
6,13,"LINESTRING (10.99163 -7.00386, 8.51098 -8.26781)",2.784098
"",8,"LINESTRING (10.99163 -7.00386, 12.63941 -3.92068)",3.495880
"",9,"LINESTRING (10.99163 -7.00386, 12.48766 -3.33396)",3.963113
7,12,"LINESTRING (6.2168 -5.87003, 6.17261 -5.26543)",0.606216
"",11,"LINESTRING (6.2168 -5.87003, 9.23621 -6.60038)",3.106486
"",13,"LINESTRING (6.2168 -5.87003, 8.51098 -8.26781)",3.318524
"",10,"LINESTRING (6.2168 -5.87003, 0.68076 -11.3552)",7.793253
8,9,"LINESTRING (12.63941 -3.92068, 12.48766 -3.33396)",0.606030
"",11,"LINESTRING (12.63941 -3.92068, 9.23621 -6.60038)",4.331574
"",13,"LINESTRING (12.63941 -3.92068, 8.51098 -8.26781)",5.995125
8,12,"LINESTRING (12.63941 -3.92068, 6.17261 -5.26543)",6.605141
9,11,"LINESTRING (12.48766 -3.33396, 9.23621 -6.60038)",4.608836
"",13,"LINESTRING (12.48766 -3.33396, 8.51098 -8.26781)",6.336946
"",12,"LINESTRING (12.48766 -3.33396, 6.17261 -5.26543)",6.603817
10,12,"LINESTRING (0.68076 -11.3552, 6.17261 -5.26543)",8.200346
11,13,"LINESTRING (9.23621 -6.60038, 8.51098 -8.26781)",1.818325
"",12,"LINESTRING (9.23621 -6.60038, 6.17261 -5.26543)",3.341820
12,13,"LINESTRING (6.17261 -5.26543, 8.51098 -8.26781)",3.805559
